ID,CALL,CN,TYPE
054B5222,HB-3451,ZD,Discus-2c
06DDECEE,HB-3008,CRN,ASW-24
054B4B30,HB-1673,WG,LS-4
054B517A,HB-3283,B2,Discus-2
053EF27B,D-4580,R,LS-3
054B4BD2,HB-1835,MN,LS-4
054B51B5,HB-3342,Z2,Discus 2
06DDEC7D,HB-xxxx,CR,
06DDE831,D-9820,9S,Discus-2b
06DD89E9,HB-1843,JT,DG-300
06DDEA81,HB-3211,8C,LS-8
094B1A8C,HB-KBK,BK,DR-400/180R
094B2902,HB-PNU,NU,PA-18 Super-Cub
094B26C8,HB-ORW,RW,PA-18 Super-Cub
